instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,28.59,30.12,18.70,22.14,319.6,319.6,481.5,302.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM+BCrestart@default,39.21,37.42,22.34,27.01,360.8,360.9,554.5,344.3
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM+BCrestart_M1@default,22.70,23.01,15.08,15.60,261.2,261.4,382.2,247.8
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,MapleLCMDistChronoBT@default,25.41,27.39,15.56,18.07,286.5,286.5,410.8,273.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_M1@default,26.64,27.76,13.89,18.29,261.4,261.3,363.3,247.7
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_Scavel_200_fix2@default,31.84,30.34,18.05,20.17,301.2,301.2,454.1,286.9
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_LCM_Scavel_fix2@default,32.78,27.33,16.84,20.37,293.2,293.4,404.6,279.2
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Minisat-v2.2.0-106-ge2dd095@simp_proof,1.74,1.49,1.24,1.56,75.5,76.0,46.0,78.8
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Riss7.1-fix@BVE_DRAT,124.51,109.83,164.65,186.09,859.6,859.6,1513.2,839.1
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,smallsat@default,64.39,54.36,86.88,96.77,504.5,504.6,839.8,488.5
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Sparrow2Riss-2018-fixfix@MAIN,109.64,115.95,173.40,183.50,859.6,859.6,1478.4,839.1
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,varisat@default,49.16,43.10,29.35,33.01,433.5,433.7,705.1,417.3
cz-3-7-7,CaDiCaL@DONTUNZIP-fixed,4936.82,5191.86,4240.71,5424.87,619.3,619.3,1060.3,622.4
cz-3-7-7,Lingeling@default,9251.82,9006.96,8328.75,12339.49,769.1,769.2,1364.2,789.1
dist10.c,CaDiCaL@DONTUNZIP-fixed,597.81,640.24,458.68,621.19,224.5,224.7,311.0,215.0
dist10.c,Lingeling@default,602.55,801.16,480.00,775.58,218.9,219.1,280.0,209.2
dist10.c,Riss7.1-fix@BVE_DRAT,2046.12,2621.17,1695.77,2957.72,274.4,274.5,400.3,261.2
dist10.c,smallsat@default,1828.45,1457.49,1196.62,2052.22,238.3,238.4,322.8,226.9
dist10.c,Sparrow2Riss-2018-fixfix@MAIN,2172.72,2636.36,1739.66,2565.05,274.6,274.5,408.5,261.2
dist4.c,CaDiCaL@DONTUNZIP-fixed,701.33,605.75,519.92,634.38,206.6,206.8,283.4,197.4
dist4.c,abcdsat_r18@default,4372.65,3994.24,3088.46,5305.61,580.0,579.8,967.2,580.9
dist4.c,Lingeling@default,637.98,901.41,445.09,709.06,217.3,217.3,286.2,207.1
dist4.c,smallsat@default,2256.68,1677.85,1223.50,1995.27,254.5,254.6,333.3,242.3
dist5.c,CaDiCaL@DONTUNZIP-fixed,489.10,589.38,415.41,580.07,228.3,228.3,299.9,218.2
dist5.c,abcdsat_r18@default,3748.78,3755.41,2503.08,4513.46,601.7,601.8,1015.5,591.8
dist5.c,Lingeling@default,684.01,753.51,454.91,849.97,234.2,234.3,301.2,223.9
dist5.c,smallsat@default,1627.47,1694.06,1067.37,1989.86,233.4,233.4,333.0,222.0
dist6.c,CaDiCaL@DONTUNZIP-fixed,480.15,529.94,369.25,569.98,221.5,221.6,301.5,212.4
dist6.c,abcdsat_r18@default,2880.04,3179.44,2387.05,4335.06,399.9,399.9,611.9,383.2
dist6.c,Lingeling@default,587.83,699.27,452.33,683.66,239.0,238.8,336.2,228.8
dist6.c,smallsat@default,1312.42,1567.04,1192.09,2135.74,240.6,240.5,319.8,229.3
dist7.c,CaDiCaL@DONTUNZIP-fixed,468.03,563.65,407.64,646.34,228.2,228.3,310.0,218.5
dist7.c,abcdsat_r18@default,2735.64,2923.72,2456.40,3871.52,411.5,411.4,650.2,394.5
dist7.c,Lingeling@default,600.63,738.22,421.35,778.64,226.7,226.8,274.5,216.3
dist7.c,smallsat@default,1688.35,1593.93,1293.20,2112.99,252.5,252.4,355.5,240.7
dist8.c,CaDiCaL@DONTUNZIP-fixed,609.64,794.80,502.99,750.51,244.4,244.4,339.3,233.5
dist8.c,abcdsat_r18@default,6583.04,6526.56,4649.24,9608.18,920.1,920.1,1634.2,906.7
dist8.c,Lingeling@default,746.55,860.84,473.10,823.18,242.8,243.0,310.8,232.6
dist9.c,CaDiCaL@DONTUNZIP-fixed,480.10,542.91,392.71,584.08,235.5,235.5,320.7,225.2
dist9.c,Lingeling@default,596.73,666.42,446.54,624.04,232.7,232.7,322.5,222.5
dist9.c,Riss7.1-fix@BVE_DRAT,2318.22,3169.59,2455.27,3946.59,322.8,322.7,497.0,307.4
dist9.c,smallsat@default,1444.15,1418.94,1281.47,2154.95,237.8,237.9,325.9,226.2
dist9.c,Sparrow2Riss-2018-fixfix@MAIN,2310.94,3143.01,2657.13,3986.39,322.7,322.7,469.9,307.4
ecarev-110-1031-23-40-3,abcdsat_r18@default,41.79,44.82,59.20,67.54,400.0,399.9,644.4,383.5
ecarev-110-1031-23-40-3,Lingeling@default,6.87,7.29,4.99,5.57,132.2,132.2,139.5,123.6
ecarev-110-1031-23-40-3,smallsat@default,6.96,6.68,4.08,5.25,120.1,119.9,128.9,112.1
ecarev-110-1031-23-40-3,Sparrow2Riss-2018-fixfix@MAIN,574.82,606.88,485.65,651.78,1341.3,1340.8,2509.5,1326.9
ecarev-110-1031-23-40-3,varisat@default,94.67,102.93,67.84,80.56,826.9,827.0,1490.3,815.1
e_rphp035_05,CaDiCaL@DONTUNZIP-fixed,8345.69,6960.31,7113.39,10406.87,3087.1,3087.0,5712.0,3285.1
e_rphp035_05,abcdsat_r18@default,2622.52,2721.01,2461.11,4123.86,1346.0,1346.0,2367.0,1401.9
e_rphp035_05,Lingeling@default,12041.60,11667.09,9862.78,14770.10,1818.7,1818.5,3255.4,1956.0
e_rphp035_05,smallsat@default,4276.64,4688.84,5339.92,6237.85,1556.8,1557.1,2749.3,1647.7
e_rphp035_05,varisat@default,2485.54,2777.14,2405.98,3538.90,2402.2,2402.3,4454.5,2454.4
e_rphp055_04,CaDiCaL@DONTUNZIP-fixed,505.23,488.69,430.28,641.30,660.3,660.0,1100.2,668.0
e_rphp055_04,Lingeling@default,1927.08,1650.93,1657.12,2653.16,641.6,641.6,1087.1,655.0
e_rphp055_04,Riss7.1-fix@BVE_DRAT,796.57,760.33,714.06,1073.20,717.7,717.7,1237.8,714.1
e_rphp055_04,Sparrow2Riss-2018-fixfix@MAIN,782.09,911.41,773.53,1111.99,717.8,717.8,1203.8,714.1
e_rphp065_04,CaDiCaL@DONTUNZIP-fixed,755.43,768.71,878.71,1189.57,1116.0,1115.9,1962.9,1124.2
e_rphp065_04,abcdsat_r18@default,7107.69,7280.76,7969.95,10988.38,3203.6,3203.7,6036.7,3214.7
e_rphp065_04,Riss7.1-fix@BVE_DRAT,2205.06,2179.31,2268.63,3130.55,1614.3,1614.2,2973.8,1633.8
e_rphp065_04,Sparrow2Riss-2018-fixfix@MAIN,2160.70,2192.18,2316.03,3110.78,1614.1,1614.1,2961.4,1633.9
e_rphp065_04,varisat@default,1174.65,1095.68,1270.39,1844.32,2114.3,2114.3,3889.8,2120.8
filter1_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,183.44,164.79,139.57,129.97,1083.7,1083.7,1707.2,1025.3
filter1_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,53.39,48.06,40.84,41.30,513.4,513.4,765.3,508.5
filter1_true-unreach-call.c,Sparrow2Riss-2018-fixfix@MAIN,60.03,50.76,70.71,68.15,503.7,503.5,743.0,497.8
filter_iir_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,462.82,443.41,459.20,529.04,1104.6,1104.3,1760.9,1035.2
filter_iir_true-unreach-call.c,Lingeling@default,187.31,184.79,162.47,185.49,947.2,947.1,1543.7,882.4
filter_iir_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,49.83,51.14,40.11,40.60,507.1,506.7,734.2,474.3
gto_p60c231_1,CaDiCaL@DONTUNZIP-fixed,304.13,308.36,271.15,442.13,264.5,264.5,387.2,253.7
gto_p60c231_1,abcdsat_r18@default,1080.57,1069.02,997.92,1648.99,403.3,403.4,622.9,393.0
gto_p60c231_1,cms55-main-all4fixed@glubreak,343.76,319.80,326.21,465.35,308.5,308.6,458.8,292.9
gto_p60c231_1,GHackCOMSPS_drup@ghack_drup,601.80,602.78,549.21,786.13,464.1,464.3,736.3,461.6
gto_p60c231_1,glucose-3.0_PADC_10@default,2149.96,2058.83,2078.95,2953.78,548.9,548.8,923.4,576.8
gto_p60c231_1,glucose-3.0_PADC_3@default,1956.34,2131.15,1897.67,2827.92,739.9,739.7,1282.2,748.4
gto_p60c231_1,glucose3.0@proofs,1319.65,1236.64,1208.08,1836.98,347.0,346.8,519.0,332.1
gto_p60c231_1,glucose4.2.1@default,848.55,849.91,784.78,1104.47,702.1,702.0,1198.3,686.6
gto_p60c231_1,Glucose_Hack_Kiel_fastBVE@default,1592.13,1459.44,1277.01,2051.84,363.4,363.5,564.0,348.6
gto_p60c231_1,Lingeling@default,234.47,207.53,210.18,332.96,264.1,264.0,377.7,252.8
gto_p60c231_1,Riss7.1-fix@BVE_DRAT,2828.30,2818.74,3010.42,4336.50,520.1,520.4,860.8,542.7
gto_p60c231_1,varisat@default,741.55,767.59,692.55,1008.70,642.8,642.9,1090.3,643.3
gto_p60c231,CaDiCaL@DONTUNZIP-fixed,276.06,282.14,226.63,362.55,258.8,259.0,363.8,246.2
gto_p60c231,abcdsat_r18@default,1253.24,1237.69,1175.45,1893.91,412.4,412.4,634.1,402.1
gto_p60c231,cms55-main-all4fixed@otherconf,432.26,453.84,455.85,656.01,333.1,333.3,503.3,316.4
gto_p60c231,glucose-3.0_PADC_10@default,1800.78,1917.34,1991.95,2643.71,491.9,491.8,782.8,508.6
gto_p60c231,glucose3.0@proofs,1328.51,1347.59,1280.14,2034.66,364.3,364.4,543.1,345.8
gto_p60c231,glucose4.2.1@default,499.41,537.13,506.48,662.11,477.1,476.8,760.0,469.6
gto_p60c231,Lingeling@default,194.28,184.51,173.74,255.15,244.5,244.3,337.7,232.8
gto_p60c231,Riss7.1-fix@BVE_DRAT,2946.59,3129.70,2673.98,4457.25,482.1,482.3,786.2,500.8
gto_p60c231,smallsat@default,1496.92,1382.59,1494.08,2253.53,375.6,375.8,562.8,360.9
gto_p60c231,Sparrow2Riss-2018-fixfix@MAIN,2967.05,2878.80,2682.33,3987.82,482.2,482.1,786.7,500.8
gto_p60c231,varisat@default,440.49,427.84,433.26,576.60,392.6,392.6,620.2,377.6
gto_p60c233,CaDiCaL@DONTUNZIP-fixed,380.20,401.28,346.17,512.51,298.7,298.9,417.6,284.1
gto_p60c233,abcdsat_r18@default,1732.30,1683.44,1548.74,2637.62,550.6,550.7,911.3,567.4
gto_p60c233,cms55-main-all4fixed@otherconf,435.04,453.64,450.33,621.33,356.9,356.8,533.6,339.8
gto_p60c233,glucose-3.0_PADC_10@default,3609.90,3609.63,4600.53,5983.15,753.9,753.9,1294.3,769.3
gto_p60c233,glucose-3.0_PADC_3@default,3463.87,3416.37,3337.02,5124.20,1071.5,1071.2,1896.1,1114.9
gto_p60c233,glucose3.0@proofs,3917.79,4249.46,5200.71,6492.73,608.7,608.6,1015.4,643.7
gto_p60c233,Lingeling@default,324.66,326.53,309.62,464.20,317.8,318.0,463.6,302.4
gto_p60c233,Riss7.1-fix@BVE_DRAT,2674.13,2668.47,3168.09,4084.78,493.7,493.5,792.7,508.1
gto_p60c233,smallsat@default,2141.82,2159.02,2247.80,3411.20,539.2,539.4,902.2,556.1
gto_p60c233,Sparrow2Riss-2018-fixfix@MAIN,2628.37,2658.91,2964.14,4229.00,493.6,493.6,791.2,508.1
gto_p60c234,CaDiCaL@DONTUNZIP-fixed,920.41,845.91,810.73,1091.85,471.4,471.5,746.8,465.7
gto_p60c234,abcdsat_r18@default,2579.89,2431.45,2348.95,3808.61,731.2,731.2,1272.0,734.0
gto_p60c234,cms55-main-all4fixed@main,1162.42,1091.74,1192.60,1633.98,801.9,802.1,1395.8,798.2
gto_p60c234,cms55-main-all4fixed@otherconf,2043.21,1876.37,1952.33,2797.42,837.9,837.6,1456.8,839.1
gto_p60c234,glucose-3.0_PADC_10@default,3997.56,3923.98,4259.37,5630.03,803.4,803.5,1391.2,823.0
gto_p60c234,glucose-3.0_PADC_3@default,4979.68,5151.15,4969.25,7007.36,1396.3,1396.6,2536.6,1464.6
gto_p60c234,glucose3.0@proofs,3284.58,3318.96,3439.41,4606.76,581.2,581.1,977.9,612.0
gto_p60c234,Lingeling@default,348.09,313.99,319.05,464.41,326.5,326.6,494.1,313.1
gto_p60c234,smallsat@default,4301.93,4373.06,4258.07,6629.01,842.3,842.3,1451.2,855.2
gto_p60c234,varisat@default,3615.99,3766.99,3560.65,5194.65,2221.5,2221.5,4128.6,2312.7
gto_p60c235,CaDiCaL@DONTUNZIP-fixed,1187.99,1048.31,940.41,1563.56,552.1,552.1,896.1,566.7
gto_p60c235,abcdsat_r18@default,3674.94,3415.68,3045.89,5189.60,887.1,887.0,1546.6,908.4
gto_p60c235,cms55-main-all4fixed@main,1409.51,1218.10,1149.41,1553.02,781.9,782.0,1345.1,771.0
gto_p60c235,cms55-main-all4fixed@otherconf,1638.01,1752.41,1353.43,1979.84,767.4,767.4,1321.2,762.7
gto_p60c235,Lingeling@default,589.03,689.96,563.05,769.66,477.4,477.4,774.6,465.1
gto_p60c235,smallsat@default,7307.16,7505.33,6556.01,10368.63,1088.4,1088.3,1923.3,1128.5
gto_p60c235,varisat@default,4475.37,3906.48,3701.11,5787.54,2401.0,2401.0,4460.8,2508.6
gto_p60c238,CaDiCaL@DONTUNZIP-fixed,1627.99,1533.54,1406.20,1950.96,731.1,731.2,1282.5,761.4
gto_p60c238,abcdsat_r18@default,4765.35,4872.83,4569.23,7362.09,1045.2,1045.3,1873.7,1089.6
gto_p60c238,Lingeling@default,766.99,771.65,711.56,1147.94,612.9,613.2,1015.3,633.2
gto_p60c238,smallsat@default,5189.14,5084.02,6286.23,8804.00,984.2,984.4,1760.1,1018.4
gto_p60c238,varisat@default,3277.72,3258.28,3214.14,4194.29,2181.1,2181.1,4055.4,2259.5
gto_p60c239,CaDiCaL@DONTUNZIP-fixed,680.84,618.96,577.28,798.14,414.9,414.9,636.8,395.8
gto_p60c239,abcdsat_r18@default,1889.27,1942.41,1867.85,2851.15,626.7,626.8,1042.3,644.4
gto_p60c239,cms55-main-all4fixed@autotune,487.18,489.84,507.84,749.99,419.7,419.7,658.1,412.5
gto_p60c239,cms55-main-all4fixed@main,615.29,619.22,619.38,859.58,528.1,528.1,865.5,540.5
gto_p60c239,GHackCOMSPS_drup@ghack_drup,656.36,651.42,602.61,880.44,500.8,500.7,817.1,495.5
gto_p60c239,glucose-3.0_PADC_3@default,1793.80,1813.09,1622.19,2393.73,720.4,720.2,1250.5,755.1
gto_p60c239,glucose3.0@proofs,1742.75,1834.36,1644.50,2427.01,423.3,423.0,650.4,415.7
gto_p60c239,glucose4.2.1@default,1687.64,1729.68,1650.69,2581.28,431.8,431.9,678.2,425.4
gto_p60c239,Glucose_Hack_Kiel_fastBVE@default,912.57,968.71,940.96,1398.93,320.1,319.8,466.9,302.7
gto_p60c239,Lingeling@default,590.71,627.63,586.69,884.98,477.4,477.4,768.1,474.3
gto_p60c239,Riss7.1-fix@BVE_DRAT,6369.61,5999.04,5796.90,8783.61,807.4,807.4,1411.3,826.3
gto_p60c239,smallsat@default,3028.86,2897.38,2907.37,4220.20,590.3,590.4,974.8,603.3
gto_p60c239,Sparrow2Riss-2018-fixfix@MAIN,6439.94,6301.96,6096.90,9619.14,807.4,807.4,1406.4,826.4
gto_p60c239,varisat@default,1047.00,1025.30,969.55,1377.54,759.4,759.1,1340.4,786.9
gto_p60c241,CaDiCaL@DONTUNZIP-fixed,566.34,563.83,493.65,696.99,374.9,374.8,579.3,358.4
gto_p60c241,abcdsat_r18@default,2889.78,2762.55,3049.69,4657.97,862.8,862.7,1519.8,874.2
gto_p60c241,cms55-main-all4fixed@glubreak,785.70,750.10,812.98,1042.53,542.5,542.6,903.9,557.1
gto_p60c241,cms55-main-all4fixed@main,487.05,473.18,453.93,688.85,437.7,437.9,674.8,427.7
gto_p60c241,cms55-main-all4fixed@otherconf,719.85,755.30,740.60,1039.77,535.2,535.2,889.6,549.9
gto_p60c241,glucose-3.0_PADC_10@default,1326.40,1315.42,1279.14,1797.43,447.8,448.0,701.8,444.2
gto_p60c241,glucose3.0@proofs,1501.49,1522.63,1490.27,2083.89,398.4,398.6,617.8,380.1
gto_p60c241,Glucose_Hack_Kiel_fastBVE@default,1755.48,1880.18,1851.00,2468.83,444.4,444.5,686.7,439.5
gto_p60c241,Lingeling@default,387.29,396.47,385.14,536.01,379.6,379.4,573.8,362.4
gto_p60c241,Riss7.1-fix@BVE_DRAT,6085.67,6434.84,6037.76,10137.52,748.0,747.9,1269.9,762.1
gto_p60c241,smallsat@default,3667.33,3719.92,3854.25,6445.73,749.8,749.9,1305.1,789.8
gto_p60c241,Sparrow2Riss-2018-fixfix@MAIN,5975.62,6014.48,6412.80,10360.01,748.1,748.0,1273.0,762.1
gto_p60c241,varisat@default,690.07,699.33,638.11,906.68,591.6,591.9,983.9,588.1
gto_p60c243,CaDiCaL@DONTUNZIP-fixed,1267.88,1343.26,1142.08,1768.89,668.9,669.1,1162.1,694.8
gto_p60c243,glucose-3.0_PADC_10@default,2387.54,2338.24,2295.43,3250.78,624.2,624.2,1049.9,656.7
gto_p60c243,glucose-3.0_PADC_3@default,3720.07,3646.16,3810.67,5843.62,1157.6,1157.7,2081.7,1193.3
gto_p60c243,glucose3.0@proofs,2286.60,2323.85,2117.15,3191.22,501.3,501.4,810.7,510.7
gto_p60c243,Glucose_Hack_Kiel_fastBVE@default,5749.47,6321.05,5773.92,10056.85,861.4,861.5,1516.1,876.1
gto_p60c243,Lingeling@default,1211.21,1146.19,1040.84,1514.50,691.7,691.8,1200.0,727.5
gto_p60c243,smallsat@default,4428.38,4463.56,4878.38,8556.09,889.2,889.4,1551.8,903.8
gto_p60c243,varisat@default,1416.99,1438.08,1309.67,1815.69,1051.7,1051.6,1889.8,1046.7
huck.col.11,CaDiCaL@DONTUNZIP-fixed,10.89,10.59,9.15,13.99,74.9,75.2,33.4,82.5
huck.col.11,abcdsat_r18@default,866.80,820.74,833.31,1364.16,395.5,395.6,624.4,380.4
huck.col.11,Candy@default,1207.29,1121.14,1210.39,1573.48,387.8,387.9,579.3,372.2
huck.col.11,cms55-main-all4fixed@main,105.64,113.59,110.52,151.42,154.9,154.8,172.5,153.8
huck.col.11,cms55-main-all4fixed@otherconf,113.29,101.64,105.60,150.34,159.7,159.6,189.1,158.4
huck.col.11,COMiniSatPS_Pulsar_drup@drup,427.99,457.46,414.32,607.98,369.8,369.8,561.7,355.8
huck.col.11,expGlucose@default,958.94,991.89,975.48,1346.67,390.1,390.1,601.2,374.3
huck.col.11,GHackCOMSPS_drup@ghack_drup,491.42,494.62,447.65,682.05,379.5,379.4,595.4,365.1
huck.col.11,glucose-3.0_PADC_10@default,1198.47,1260.38,1191.01,1727.79,561.4,561.6,945.3,577.3
huck.col.11,glucose-3.0_PADC_3@default,1433.04,1370.97,1312.87,2022.35,1024.2,1024.1,1822.0,1032.2
huck.col.11,glucose3.0@proofs,998.42,989.40,1040.88,1385.26,392.2,392.2,621.2,376.2
huck.col.11,glucose4.2.1@default,957.80,929.48,1005.24,1342.85,360.6,360.8,556.1,345.1
huck.col.11,Glucose_Hack_Kiel_fastBVE@default,1062.31,1029.47,1035.63,1491.47,392.1,392.3,596.7,376.2
huck.col.11,glu_mix@default,323.90,322.16,319.76,466.69,386.8,386.8,588.2,372.9
huck.col.11,Lingeling@default,51.10,52.06,46.79,58.97,140.7,140.7,169.6,140.2
huck.col.11,Maple_CM_Dist@default,470.01,470.01,398.43,668.83,249.8,249.8,345.3,239.8
huck.col.11,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,1896.64,1901.12,1915.99,2528.73,1016.6,1016.5,1799.8,1013.3
huck.col.11,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,261.39,269.77,225.00,354.38,375.4,375.3,583.1,361.6
huck.col.11,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,1040.66,984.25,1035.28,1589.06,576.8,576.7,968.6,591.1
huck.col.11,Maple_LCM+BCrestart_M1@default,428.84,457.55,391.58,653.09,231.0,231.1,321.9,221.4
huck.col.11,Maple_LCM_M1@default,428.64,426.22,387.80,638.24,238.7,238.8,322.0,228.5
huck.col.11,Maple_LCM_Scavel_200_fix2@default,433.86,374.06,387.14,581.64,248.0,248.2,361.2,238.6
huck.col.11,Riss7.1-fix@BVE_DRAT,918.33,869.81,873.41,1358.68,381.2,381.2,593.5,365.8
huck.col.11,Sparrow2Riss-2018-fixfix@MAIN,924.04,908.31,897.04,1351.62,381.2,381.2,575.1,366.3
mchess_15,CaDiCaL@DONTUNZIP-fixed,428.77,367.18,376.77,578.42,325.7,325.7,488.4,309.2
mchess_15,abcdsat_r18@default,3460.32,3987.26,3032.61,5264.28,1352.0,1352.0,2341.5,1375.8
mchess_15,Candy@default,1264.45,1304.55,1709.86,2126.61,427.3,427.4,658.8,407.9
mchess_15,COMiniSatPS_Pulsar_drup@drup,661.82,589.11,534.34,782.29,361.4,361.3,541.0,343.7
mchess_15,Lingeling@default,1976.39,2060.41,1652.11,3310.19,677.5,677.8,1155.4,681.2
mchess_15,Maple_CM_ordUIP+@default,3382.18,3767.32,2516.58,4354.85,529.2,529.0,874.7,559.3
mchess_15,Maple_CM_ordUIP@default,3295.78,3334.48,2644.90,4215.95,529.0,529.1,880.4,559.3
mchess_15,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,808.22,775.37,719.65,1079.25,475.1,475.3,792.3,481.9
mchess_15,Riss7.1-fix@BVE_DRAT,2971.70,3863.91,2870.75,4314.09,607.7,607.8,1028.3,635.3
mchess_15,smallsat@default,2781.34,3105.77,2406.26,3897.74,855.4,855.5,1397.6,828.8
mchess_15,Sparrow2Riss-2018-fixfix@MAIN,2918.44,3254.02,2980.88,4676.13,607.6,607.8,1003.5,635.3
mchess_15,varisat@default,1234.98,1156.68,1142.76,1672.04,1297.4,1297.5,2328.5,1284.0
mchess_16,CaDiCaL@DONTUNZIP-fixed,270.17,268.30,233.33,356.28,358.3,358.2,539.7,340.8
mchess_16,glucose-3.0_PADC_10@default,7174.51,8092.51,11609.95,13770.57,1536.6,1536.7,2786.7,1562.9
mchess_16,Lingeling@default,3583.90,3823.85,3675.10,5703.90,1039.9,1040.0,1843.5,1080.3
mchess_16,varisat@default,1901.09,1827.27,1937.09,2677.61,1317.6,1317.7,2369.1,1305.9
mchess_18,CaDiCaL@DONTUNZIP-fixed,638.75,671.61,775.75,931.47,812.8,812.9,1390.4,792.3
Nb27T6,CaDiCaL@DONTUNZIP-fixed,492.40,482.66,529.86,490.26,320.9,320.9,462.5,345.1
Nb27T6,abcdsat_r18@default,857.30,845.34,779.30,1053.68,376.6,376.8,591.2,365.8
Nb27T6,cms55-main-all4fixed@glubreak,889.81,810.37,721.50,900.09,497.4,497.6,753.9,490.9
Nb27T6,cms55-main-all4fixed@main,616.84,612.76,539.03,731.66,487.4,487.4,738.4,480.0
Nb27T6,cms55-main-all4fixed@otherconf,736.09,853.69,635.69,920.77,497.9,497.7,734.6,490.0
Nb27T6,COMiniSatPS_Pulsar_drup@drup,275.34,241.09,209.55,296.21,372.9,373.1,572.9,372.2
Nb27T6,expMC_LRB_VSIDS_Switch_2500@default,148.88,156.86,143.42,212.86,359.4,359.3,553.7,355.4
Nb27T6,Lingeling@default,952.99,968.20,829.89,1205.08,384.1,384.4,548.1,407.7
Nb27T6,Maple_CM_Dist@default,288.17,371.72,279.14,351.26,376.5,376.3,577.3,372.7
Nb27T6,Maple_CM_ordUIP+@default,549.77,457.57,472.83,653.45,437.1,437.1,656.2,432.0
Nb27T6,Maple_CM_ordUIP@default,541.07,436.76,390.73,580.86,437.2,437.2,656.2,432.1
Nb27T6,Maple_LCM+BCrestart@default,427.66,466.37,401.66,653.27,405.6,405.8,618.0,403.5
Nb27T6,Maple_LCM+BCrestart_M1@default,261.46,209.84,182.27,292.46,362.3,362.1,557.8,357.6
Nb27T6,Maple_LCM_M1@default,215.31,202.82,174.26,285.33,364.3,364.2,560.8,359.9
Nb27T6,Maple_LCM_Scavel_200_fix2@default,698.65,694.10,528.54,766.79,3276.8,3276.5,6310.0,3273.8
Nb27T6,Maple_LCM_Scavel_fix2@default,773.12,781.14,588.95,902.95,3315.9,3316.2,6393.8,3312.7
Nb27T6,Minisat-v2.2.0-106-ge2dd095@simp_proof,698.08,841.66,784.55,1023.73,337.5,337.2,474.0,355.5
Nb27T6,Riss7.1-fix@BVE_DRAT,1067.30,1048.39,984.87,1521.78,320.4,320.4,456.6,346.3
Nb27T6,smallsat@default,780.10,745.24,693.97,975.27,377.6,377.8,587.2,365.9
Nb27T6,Sparrow2Riss-2018-fixfix@MAIN,1288.43,1012.50,976.47,1393.30,320.7,320.3,456.8,346.3
Nb29T6,CaDiCaL@DONTUNZIP-fixed,511.37,525.73,529.78,755.70,385.0,384.9,566.3,380.4
Nb29T6,abcdsat_r18@default,2758.04,2863.94,2094.50,2681.83,519.4,519.5,802.0,507.6
